type	a	b	c	d	dir	exp_a	DP_rows	RR_rows	OR	MS	Dice	PMI	chi2_signed	G_signed	t	p_fisher_1
surgery	21	70044	82	2498594	1	2.80942882135645	0.000266904306920431	9.13301690242336	9.13545527480288	0.000299721687004924	0.000598563447725459	2.90204057359852	121.088367805352	51.631394627307	3.96952429067398	6.66133814775094e-13
eng	20	70045	5	2498671	1	0.681900199358363	0.000283448165957726	142.649025904517	142.689471054322	0.000285449225718975	0.0005706948209445	4.87429558311561	562.629620201753	119.33181576403	4.31967525138166	0
forum	20	70045	100	2498576	1	3.27312095692014	0.000245428030493984	7.13245129522586	7.13420229852238	0.000285449225718975	0.000569922348080074	2.61126117728182	87.8816978933976	41.4703081090741	3.7402584198704	1.10839115663453e-10
lunch	20	70045	100	2498576	1	3.27312095692014	0.000245428030493984	7.13245129522586	7.13420229852238	0.000285449225718975	0.000569922348080074	2.61126117728182	87.8816978933976	41.4703081090741	3.7402584198704	1.10839115663453e-10
sustainability	20	70045	50	2498626	1	1.90932055820342	0.00026543862810648	14.2649025904517	14.268690127775	0.000285449225718975	0.000570328651885649	3.38886875594537	176.219155189389	63.0824621756658	4.04521464698159	2.22044604925031e-15
comox	19.5	70046.5	0.5	2498676.5	1	0.545527520658937	0.000278108917025206	1390.80870893158	1391.19561291428	0.000278309022921246	0.000556459207259652	5.15967833458539	677.049867568495	135.824290857648	4.29235906877786	0
humans	19	70046	148	2498528	1	4.55509333171386	0.00021194539550004	4.5782626557193	4.57923326061407	0.000271176764433026	0.000541063902494589	2.06044689897251	47.094566974804	26.7089105147558	3.31390111985227	1.93008319548937e-07
inclusive	19	70046	27	2498649	1	1.25469636681939	0.000260371041722279	25.0956619646836	25.1021979207315	0.000271176764433026	0.000541997689378272	3.92058923538955	258.015845833963	75.9932652323324	4.07106691185655	0
lunar	19	70046	25	2498651	1	1.20014435087072	0.000261171465626779	27.1033149218583	27.1103954544157	0.000271176764433026	0.000542013150950662	3.98471957280926	271.40465160775	78.0775952393992	4.08358204891447	0
transition	19	70046	117	2498559	1	3.70953708450949	0.000224351966019787	5.79130660723467	5.79260625069094	0.000271176764433026	0.000541302830444011	2.35668835019622	64.7970026085119	33.3363475358442	3.50788574425006	6.76588196579786e-09
**	18	70047	19	2498657	1	1.00921229505038	0.000249300276054329	33.7852956089646	33.7937204568662	0.000256904303147078	0.000513537416906793	4.15669531381634	294.077042498071	79.4521820229037	4.00478109938054	0
ball	18	70047	109	2498567	1	3.46405301274048	0.000213281200351837	5.88917996853512	5.89043634267582	0.000256904303147078	0.000512878960565307	2.37746399267312	62.7095920689786	32.0384918430109	3.42616756604029	1.32630222360319e-08
kicks	18	70047	16	2498660	1	0.927384271127373	0.000250500911911079	40.1200385356455	40.1300912244636	0.000256904303147078	0.000513559394570536	4.27868583819495	323.114557820566	83.5358612613213	4.02406821715855	0
mountain	18	70047	45	2498631	1	1.71838850238307	0.000238894765295832	14.2649025904517	14.2683112767142	0.000256904303147078	0.000513347022587269	3.38886875594537	158.596807471211	56.7737836904264	3.8376260786378	5.57331958361829e-14
nortje	18	70047	1	2498675	1	0.518244151512356	0.000256504091194828	641.920616570328	642.085314146216	0.000256904303147078	0.000513669311112379	5.1182211660017	606.246544128555	121.887416931995	4.1205038060486	0
**a	17	70048	10	2498666	1	0.736452215307032	0.00023862972233863	60.6258360094198	60.6403066468707	0.000242631841861129	0.000485076756263197	4.52879901708985	369.233370141678	87.422169098788	3.9445027797054	0
jan	17	70048	46	2498630	1	1.71838850238307	0.000224222092057633	13.1795295672652	13.1824854261426	0.000242631841861129	0.000484827743554643	3.3064065957534	139.71337197355	51.5363895468828	3.70634746051296	7.81263942428723e-13
sandberg	17.5	70048.5	0.5	2498676.5	1	0.490974768593043	0.000249564401853796	1248.16166186167	1248.47323640049	0.000249764507749836	0.000499400719137036	5.15556222611316	605.777664410259	121.523101297663	4.06594856470141	0
vision	17	70048	63	2498613	1	2.18208063794676	0.000217418488869385	9.62314857292378	9.62524133111445	0.000242631841861129	0.000484710243067931	2.96175842436595	103.449300002168	43.1871325196932	3.59388522644986	5.0339288293344e-11
core	16	70049	106	2498570	1	3.32767297286881	0.00018593691363669	5.38298210960442	5.38398323330003	0.00022835938057518	0.00045592488637497	2.26548634044009	49.6138699175018	26.3119176472076	3.16809162339545	2.48777940692335e-07
crawley	16	70049	7	2498669	1	0.627348183409694	0.000225557896909431	81.5137290882956	81.5321193531875	0.00022835938057518	0.000456568884830499	4.67266172194596	387.260496130599	87.3794129657338	3.84317492322008	0
female	16	70049	114	2498562	1	3.54588103666349	0.00018273521801869	5.00522897910587	5.00614381962701	0.00022835938057518	0.000455872925422039	2.17385586497452	44.9711724608205	24.5806517385567	3.11353943755104	5.97775295485548e-07
judy	16	70049	28	2498648	1	1.20014435087072	0.000217153445912183	20.3784322720739	20.3828585296415	0.00022835938057518	0.000456432127116347	3.73679205936568	187.628706727196	59.1254219787356	3.69997543537849	1.88737914186277e-14
lanka	16	70049	123	2498553	1	3.7913651084325	0.000179133310448441	4.63899271234202	4.63982390027329	0.00022835938057518	0.000455814483505213	2.07728260527947	40.4177819412517	22.7976600703594	3.05216822847607	1.47739425115923e-06
audience	15	70050	115	2498561	1	3.54588103666349	0.000168062544780492	4.65159867079948	4.65238059770971	0.000214086919289231	0.000427380867583161	2.08074646058304	38.0392170606071	21.4319253290492	2.95744943429711	3.01435172000986e-06
craft	15	70050	22	2498654	1	1.00921229505038	0.000205282256339733	24.3151748700882	24.3201674128869	0.000214086919289231	0.000427947847422327	3.89366090798254	199.396912067766	59.3115702691589	3.61241639935974	1.82076576038526e-14
disorders	15	70050	19	2498657	1	0.927384271127373	0.000206482892196483	28.1544130074705	28.1602276569368	0.000214086919289231	0.000427966162142113	4.01565143236115	219.536154443914	62.4438976607507	3.63354436597467	3.88578058618805e-15
